genotype,datelist,animal,variable,fram,lens
Nd,20160825c1v1,1,V1,7,6
Nd,20160825c1v1,1,V3,35,17
Nd,20160825c1v1,1,V4,49,7
Nd,20160825c1v1,1,V8,81,10
Nd,20160825c1v1,1,V11,107,10
Nd,20160825c1v1,1,V14,142,20
Nd,20160825c1v1,1,V15,149,5
Nd,20160825c1v1,1,V17,171,5
Nd,20160825c1v1,1,V19,191,9
Nd,20160825c1v1,1,V22,226,5
Nd,20160825c1v1,1,V25,278,6
Nd,20160825c1v1,1,V30,331,9
Nd,20160825c1v1,1,V31,340,5
Nd,20160825c1v1,1,V42,788,13
Nd,20160825c1v1,1,V52,2422,5
Nd,20160825c1v1,1,V56,2678,5
Nd,20160825c1v1,1,V72,3607,9
Nd,20160825c1v1,1,V73,3668,5
Nd,20160825c1v1,1,V79,4010,11
Nd,20160825c1v1,1,V85,4351,6
Nd,20160825c1v1,1,V90,4410,6
Nd,20160825c1v1,1,V91,4438,5
Nd,20160825c1v1,1,V93,4578,7
Nd,20160825c1v1,1,V95,10799,6145
Nd,20160825c1v1,2,V1,16,15
Nd,20160825c1v1,2,V8,57,7
Nd,20160825c1v1,2,V9,67,8
Nd,20160825c1v1,2,V10,80,9
Nd,20160825c1v1,2,V11,89,6
Nd,20160825c1v1,2,V12,96,5
Nd,20160825c1v1,2,V15,117,6
Nd,20160825c1v1,2,V16,128,7
Nd,20160825c1v1,2,V19,147,8
Nd,20160825c1v1,2,V20,160,6
Nd,20160825c1v1,2,V21,179,17
Nd,20160825c1v1,2,V24,216,13
Nd,20160825c1v1,2,V25,230,8
Nd,20160825c1v1,2,V26,257,11
Nd,20160825c1v1,2,V27,315,9
Nd,20160825c1v1,2,V30,348,8
Nd,20160825c1v1,2,V40,1530,7
Nd,20160825c1v1,2,V59,3273,6
Nd,20160825c1v1,2,V62,3297,5
Nd,20160825c1v1,2,V64,3322,9
Nd,20160825c1v1,2,V70,3433,18
Nd,20160825c1v1,2,V71,3567,8
Nd,20160825c1v1,2,V73,3647,24
Nd,20160825c1v1,2,V74,3667,18
Nd,20160825c1v1,2,V76,3704,21
Nd,20160825c1v1,2,V77,3727,14
Nd,20160825c1v1,2,V80,3959,5
Nd,20160825c1v1,2,V83,4007,15
Nd,20160825c1v1,2,V87,4027,6
Nd,20160825c1v1,2,V95,4189,8
Nd,20160825c1v1,2,V99,4210,9
Nd,20160825c1v1,2,V102,4235,7
Nd,20160825c1v1,2,V107,4284,5
Nd,20160825c1v1,2,V108,4291,5
Nd,20160825c1v1,2,V109,4302,5
Nd,20160825c1v1,2,V110,4310,5
Nd,20160825c1v1,2,V114,4362,33
Nd,20160825c1v1,2,V115,4403,39
Nd,20160825c1v1,2,V116,4432,27
Nd,20160825c1v1,2,V119,4451,7
Nd,20160825c1v1,2,V122,4470,7
Nd,20160825c1v1,2,V124,4492,6
Nd,20160825c1v1,2,V125,4500,6
Nd,20160825c1v1,2,V131,4576,10
Nd,20160825c1v1,2,V132,4588,6
Nd,20160825c1v1,2,V135,4603,5
Nd,20160825c1v1,2,V137,4617,9
Nd,20160825c1v1,2,V149,5088,13
Nd,20160825c1v1,2,V150,5663,357
Nd,20160825c1v1,2,V157,6016,10
Nd,20160825c1v1,2,V160,6045,5
Nd,20160825c1v1,2,V167,6148,6
Nd,20160825c1v1,2,V171,6210,7
Nd,20160825c1v1,2,V172,6247,8
Nd,20160825c1v1,2,V175,6288,10
Nd,20160825c1v1,2,V176,6333,5
Nd,20160825c1v1,2,V177,6343,5
Nd,20160825c1v1,2,V179,6359,5
Nd,20160825c1v1,2,V181,6384,5
Nd,20160825c1v1,2,V184,6419,7
Nd,20160825c1v1,2,V186,6443,18
Nd,20160825c1v1,2,V193,6488,8
Nd,20160825c1v1,2,V195,6529,8
Nd,20160825c1v1,2,V197,6551,6
Nd,20160825c1v1,2,V199,6628,17
Nd,20160825c1v1,2,V200,6951,315
Nd,20160825c1v1,2,V206,7215,12
Nd,20160825c1v1,2,V209,7348,20
Nd,20160825c1v1,2,V210,7386,31
Nd,20160825c1v1,2,V217,7493,5
Nd,20160825c1v1,2,V229,7761,5
Nd,20160825c1v1,2,V234,7808,17
Nd,20160825c1v1,2,V242,7871,10
Nd,20160825c1v1,2,V244,7884,6
Nd,20160825c1v1,2,V250,10799,2502
Nd,20160825c1v1,3,V8,280,6
Nd,20160825c1v1,3,V12,345,5
Nd,20160825c1v1,3,V17,396,5
Nd,20160825c1v1,3,V29,899,6
Nd,20160825c1v1,3,V40,1043,20
Nd,20160825c1v1,3,V50,1624,9
Nd,20160825c1v1,3,V53,1643,8
Nd,20160825c1v1,3,V56,1700,6
Nd,20160825c1v1,3,V72,2318,5
Nd,20160825c1v1,3,V73,10799,8475
Nd,20160825c1v1,4,V7,975,5
Nd,20160825c1v1,4,V13,1683,11
Nd,20160825c1v1,4,V15,2078,11
