genotype,datelist,animal,variable,fram,lens
Ne,20161029c1v2,1,V7,906,9
Ne,20161029c1v2,1,V23,1816,5
Ne,20161029c1v2,1,V24,2854,7
Ne,20161029c1v2,1,V28,3344,9
Ne,20161029c1v2,1,V30,3397,33
Ne,20161029c1v2,1,V31,3423,15
Ne,20161029c1v2,1,V34,3454,6
Ne,20161029c1v2,1,V35,3468,7
Ne,20161029c1v2,1,V36,3477,7
Ne,20161029c1v2,1,V37,3491,5
Ne,20161029c1v2,1,V38,3511,16
Ne,20161029c1v2,1,V41,3540,12
Ne,20161029c1v2,1,V44,3611,8
Ne,20161029c1v2,1,V46,3650,14
Ne,20161029c1v2,1,V49,3681,12
Ne,20161029c1v2,1,V50,3691,7
Ne,20161029c1v2,1,V52,3707,5
Ne,20161029c1v2,1,V53,3773,58
Ne,20161029c1v2,1,V54,3789,13
Ne,20161029c1v2,1,V57,3869,32
Ne,20161029c1v2,1,V59,5506,5
Ne,20161029c1v2,1,V62,5975,5
Ne,20161029c1v2,1,V63,6002,6
Ne,20161029c1v2,1,V67,6031,10
Ne,20161029c1v2,1,V68,6066,31
Ne,20161029c1v2,1,V70,6087,11
Ne,20161029c1v2,1,V72,6112,12
Ne,20161029c1v2,1,V75,6152,15
Ne,20161029c1v2,1,V76,6167,12
Ne,20161029c1v2,1,V77,6174,5
Ne,20161029c1v2,1,V78,6192,8
Ne,20161029c1v2,1,V79,6205,6
Ne,20161029c1v2,1,V82,6229,5
Ne,20161029c1v2,1,V86,6283,6
Ne,20161029c1v2,1,V88,6301,5
Ne,20161029c1v2,1,V90,6328,17
Ne,20161029c1v2,1,V91,6335,5
Ne,20161029c1v2,1,V99,6501,5
Ne,20161029c1v2,1,V101,6533,16
Ne,20161029c1v2,1,V104,6586,11
Ne,20161029c1v2,1,V113,6676,8
Ne,20161029c1v2,2,V2,359,6
Ne,20161029c1v2,2,V9,5759,5
Ne,20161029c1v2,2,V20,7754,13
Ne,20161029c1v2,2,V24,7869,28
Ne,20161029c1v2,2,V26,7888,6
Ne,20161029c1v2,2,V28,7903,7
Ne,20161029c1v2,2,V30,7927,8
Ne,20161029c1v2,2,V31,7944,15
Ne,20161029c1v2,2,V32,7953,7
Ne,20161029c1v2,2,V34,7989,7
Ne,20161029c1v2,2,V37,8015,13
Ne,20161029c1v2,2,V38,8039,21
Ne,20161029c1v2,2,V40,8058,5
Ne,20161029c1v2,2,V45,8127,6
Ne,20161029c1v2,2,V50,8179,7
Ne,20161029c1v2,2,V52,8191,7
Ne,20161029c1v2,2,V57,8280,13
Ne,20161029c1v2,2,V58,8304,20
Ne,20161029c1v2,2,V60,8337,24
Ne,20161029c1v2,2,V62,8395,6
Ne,20161029c1v2,2,V63,8411,6
Ne,20161029c1v2,2,V65,8587,7
Ne,20161029c1v2,2,V68,8615,5
Ne,20161029c1v2,2,V69,8628,5
Ne,20161029c1v2,2,V74,8708,25
Ne,20161029c1v2,2,V77,8770,31
Ne,20161029c1v2,2,V79,8803,22
Ne,20161029c1v2,2,V83,8831,9
Ne,20161029c1v2,2,V84,8868,8
Ne,20161029c1v2,2,V86,8900,6
Ne,20161029c1v2,2,V90,8997,7
Ne,20161029c1v2,2,V96,9218,9
Ne,20161029c1v2,2,V103,9273,5
Ne,20161029c1v2,2,V105,9293,9
Ne,20161029c1v2,2,V106,9312,12
Ne,20161029c1v2,2,V109,9338,11
Ne,20161029c1v2,2,V113,9362,6
Ne,20161029c1v2,2,V133,9525,5
Ne,20161029c1v2,2,V140,9595,6
Ne,20161029c1v2,2,V150,9694,8
Ne,20161029c1v2,2,V152,9709,5
Ne,20161029c1v2,2,V161,9786,5
Ne,20161029c1v2,2,V165,9821,9
Ne,20161029c1v2,2,V168,9853,7
Ne,20161029c1v2,2,V190,10063,10
Ne,20161029c1v2,2,V192,10094,7
Ne,20161029c1v2,2,V198,10146,7
Ne,20161029c1v2,2,V203,10231,14
Ne,20161029c1v2,2,V204,10278,37
Ne,20161029c1v2,2,V209,10321,12
Ne,20161029c1v2,2,V220,10479,9
Ne,20161029c1v2,2,V222,10520,7
Ne,20161029c1v2,2,V229,10665,58
Ne,20161029c1v2,2,V230,10701,15
Ne,20161029c1v2,2,V231,10708,5
Ne,20161029c1v2,2,V232,10819,103
Ne,20161029c1v2,2,V234,10870,45
Ne,20161029c1v2,2,V235,10885,13
Ne,20161029c1v2,2,V237,10906,8
Ne,20161029c1v2,2,V238,10919,11
Ne,20161029c1v2,2,V239,10928,5
Ne,20161029c1v2,2,V240,10978,29
Ne,20161029c1v2,3,V4,166,5
Ne,20161029c1v2,3,V11,987,16
Ne,20161029c1v2,3,V13,1221,9
Ne,20161029c1v2,3,V17,1351,6
Ne,20161029c1v2,3,V26,2046,5
Ne,20161029c1v2,3,V29,2118,10
Ne,20161029c1v2,3,V35,2344,5
Ne,20161029c1v2,3,V37,2376,17
Ne,20161029c1v2,3,V38,2405,17
Ne,20161029c1v2,3,V39,2421,11
Ne,20161029c1v2,3,V40,2453,5
Ne,20161029c1v2,3,V42,2474,14
Ne,20161029c1v2,3,V45,2506,10
Ne,20161029c1v2,3,V56,2649,9
Ne,20161029c1v2,3,V59,2702,9
Ne,20161029c1v2,3,V66,2849,8
Ne,20161029c1v2,3,V68,2882,13
Ne,20161029c1v2,3,V72,2920,5
Ne,20161029c1v2,3,V74,2974,5
Ne,20161029c1v2,3,V75,2991,7
Ne,20161029c1v2,3,V80,3117,16
Ne,20161029c1v2,3,V81,3135,5
Ne,20161029c1v2,3,V82,3145,8
Ne,20161029c1v2,3,V85,3630,415
Ne,20161029c1v2,3,V86,4813,10
Ne,20161029c1v2,3,V89,4844,9
Ne,20161029c1v2,3,V95,4901,12
Ne,20161029c1v2,3,V99,4928,7
Ne,20161029c1v2,3,V105,5175,5
Ne,20161029c1v2,3,V109,9036,6
Ne,20161029c1v2,3,V112,9065,6
Ne,20161029c1v2,3,V114,9109,20
Ne,20161029c1v2,3,V115,9119,7
Ne,20161029c1v2,3,V116,9136,6
Ne,20161029c1v2,3,V117,9160,21
Ne,20161029c1v2,3,V121,9187,14
Ne,20161029c1v2,3,V124,9212,12
Ne,20161029c1v2,3,V125,9231,17
Ne,20161029c1v2,3,V132,9283,9
Ne,20161029c1v2,3,V135,9303,8
Ne,20161029c1v2,3,V141,9336,8
Ne,20161029c1v2,3,V145,9367,5
Ne,20161029c1v2,3,V150,9497,9
Ne,20161029c1v2,3,V152,9520,14
Ne,20161029c1v2,3,V157,9642,20
Ne,20161029c1v2,3,V163,9706,6
Ne,20161029c1v2,3,V170,9781,10
Ne,20161029c1v2,3,V171,9791,5
Ne,20161029c1v2,3,V172,9804,11
Ne,20161029c1v2,3,V173,9822,7
Ne,20161029c1v2,3,V180,9907,6
Ne,20161029c1v2,3,V185,9992,5
Ne,20161029c1v2,3,V194,10078,12
Ne,20161029c1v2,3,V195,10102,5
Ne,20161029c1v2,3,V201,10193,5
Ne,20161029c1v2,3,V204,10236,5
Ne,20161029c1v2,3,V205,10259,21
Ne,20161029c1v2,3,V206,10276,5
Ne,20161029c1v2,3,V209,10409,46
Ne,20161029c1v2,3,V211,10428,5
Ne,20161029c1v2,3,V214,10468,19
Ne,20161029c1v2,3,V231,10681,7
Ne,20161029c1v2,3,V235,10723,8
Ne,20161029c1v2,3,V259,10959,7
Ne,20161029c1v2,3,V260,10972,6
Ne,20161029c1v2,3,V264,11019,5
Ne,20161029c1v2,3,V274,11143,5
Ne,20161029c1v2,3,V277,11189,24
Ne,20161029c1v2,3,V279,11226,15
Ne,20161029c1v2,3,V281,11248,16
Ne,20161029c1v2,3,V289,11336,5
Ne,20161029c1v2,3,V294,11438,5
Ne,20161029c1v2,4,V2,4575,8
Ne,20161029c1v2,4,V5,5315,39
Ne,20161029c1v2,4,V6,5326,7
Ne,20161029c1v2,4,V11,5506,14
Ne,20161029c1v2,4,V14,5576,7
Ne,20161029c1v2,4,V24,5800,39
Ne,20161029c1v2,4,V25,5809,7
Ne,20161029c1v2,4,V28,5841,18
Ne,20161029c1v2,4,V30,5866,7
Ne,20161029c1v2,4,V35,5937,10
Ne,20161029c1v2,4,V36,5968,29
Ne,20161029c1v2,4,V37,5977,6
Ne,20161029c1v2,4,V38,5992,13
Ne,20161029c1v2,4,V41,6042,39
Ne,20161029c1v2,4,V42,6053,9
Ne,20161029c1v2,4,V43,6069,14
Ne,20161029c1v2,4,V44,6077,6
Ne,20161029c1v2,4,V46,6092,7
Ne,20161029c1v2,4,V47,6129,35
Ne,20161029c1v2,4,V50,6167,22
Ne,20161029c1v2,4,V51,6176,6
Ne,20161029c1v2,4,V52,6198,20
Ne,20161029c1v2,4,V54,6221,7
Ne,20161029c1v2,4,V56,6240,7
Ne,20161029c1v2,4,V58,6262,14
Ne,20161029c1v2,4,V59,6273,9
Ne,20161029c1v2,4,V61,6300,14
Ne,20161029c1v2,4,V62,6307,5
Ne,20161029c1v2,4,V64,6331,18
Ne,20161029c1v2,4,V65,6352,18
Ne,20161029c1v2,4,V67,6396,39
Ne,20161029c1v2,4,V68,6414,15
Ne,20161029c1v2,4,V69,6430,14
Ne,20161029c1v2,4,V71,6441,5
Ne,20161029c1v2,4,V75,6467,5
Ne,20161029c1v2,4,V76,6500,31
Ne,20161029c1v2,4,V77,6531,25
