,datelist,animal,variable,fram,lens
deet,20161029c1v4,1,V6,1610,15
deet,20161029c1v4,1,V12,1747,5
deet,20161029c1v4,2,V1,420,6
deet,20161029c1v4,3,V2,26,6
deet,20161029c1v4,3,V5,67,12
deet,20161029c1v4,3,V6,82,13
deet,20161029c1v4,3,V15,193,6
deet,20161029c1v4,3,V17,224,6
deet,20161029c1v4,3,V18,361,11
deet,20161029c1v4,3,V20,391,7
deet,20161029c1v4,3,V22,429,13
deet,20161029c1v4,3,V26,467,23
deet,20161029c1v4,3,V30,519,40
deet,20161029c1v4,3,V32,551,23
deet,20161029c1v4,3,V34,572,8
deet,20161029c1v4,3,V35,584,8
deet,20161029c1v4,3,V37,599,8
deet,20161029c1v4,3,V39,635,6
deet,20161029c1v4,3,V41,660,6
deet,20161029c1v4,3,V42,668,5
deet,20161029c1v4,3,V43,677,7
deet,20161029c1v4,3,V52,1233,11
deet,20161029c1v4,3,V54,1251,6
deet,20161029c1v4,3,V63,1356,6
deet,20161029c1v4,3,V64,1372,9
deet,20161029c1v4,3,V68,1393,5
deet,20161029c1v4,3,V72,1423,11
deet,20161029c1v4,3,V73,1448,23
deet,20161029c1v4,3,V76,1466,7
deet,20161029c1v4,3,V77,1476,8
deet,20161029c1v4,3,V80,1492,5
deet,20161029c1v4,3,V81,1507,9
deet,20161029c1v4,3,V84,1525,7
deet,20161029c1v4,3,V85,1536,5
deet,20161029c1v4,3,V86,1554,15
deet,20161029c1v4,3,V87,1592,36
deet,20161029c1v4,3,V90,1611,5
deet,20161029c1v4,3,V93,1627,5
deet,20161029c1v4,3,V96,1647,6
deet,20161029c1v4,3,V97,1661,12
deet,20161029c1v4,3,V98,1671,8
deet,20161029c1v4,3,V99,1684,11
deet,20161029c1v4,3,V100,1699,13
deet,20161029c1v4,3,V104,1726,7
deet,20161029c1v4,3,V107,1760,17
deet,20161029c1v4,3,V109,1786,21
deet,20161029c1v4,3,V111,1807,14
deet,20161029c1v4,3,V114,1823,8
deet,20161029c1v4,3,V117,1837,5
deet,20161029c1v4,3,V119,1853,11
deet,20161029c1v4,3,V121,1875,13
deet,20161029c1v4,3,V122,1887,7
deet,20161029c1v4,3,V125,1911,8
deet,20161029c1v4,3,V127,1943,11
deet,20161029c1v4,3,V128,1958,12
deet,20161029c1v4,3,V133,2040,5
deet,20161029c1v4,3,V136,2065,5
deet,20161029c1v4,3,V149,2755,6
deet,20161029c1v4,3,V160,2965,10
deet,20161029c1v4,3,V165,3049,5
deet,20161029c1v4,3,V166,3058,7
deet,20161029c1v4,3,V170,3125,5
deet,20161029c1v4,3,V171,3138,6
deet,20161029c1v4,3,V175,3170,20
deet,20161029c1v4,3,V179,3186,5
deet,20161029c1v4,3,V182,3201,5
deet,20161029c1v4,3,V183,3218,10
deet,20161029c1v4,3,V189,3250,7
deet,20161029c1v4,3,V192,3292,12
deet,20161029c1v4,3,V194,3310,13
deet,20161029c1v4,3,V196,3322,5
deet,20161029c1v4,3,V198,3348,19
deet,20161029c1v4,3,V201,3369,9
deet,20161029c1v4,3,V204,3397,15
deet,20161029c1v4,3,V206,3419,13
deet,20161029c1v4,3,V208,3432,8
deet,20161029c1v4,3,V209,3439,5
deet,20161029c1v4,3,V211,3460,15
deet,20161029c1v4,3,V213,3480,7
deet,20161029c1v4,3,V214,3492,10
deet,20161029c1v4,3,V215,3514,17
deet,20161029c1v4,3,V220,3574,8
deet,20161029c1v4,3,V221,3588,12
deet,20161029c1v4,3,V222,3596,6
deet,20161029c1v4,3,V227,3625,10
deet,20161029c1v4,3,V228,3632,5
deet,20161029c1v4,3,V229,3642,6
deet,20161029c1v4,3,V230,3652,7
deet,20161029c1v4,3,V233,3673,6
deet,20161029c1v4,3,V236,3696,7
deet,20161029c1v4,3,V237,3706,5
deet,20161029c1v4,3,V241,3738,17
deet,20161029c1v4,3,V243,3753,6
deet,20161029c1v4,3,V244,3768,5
deet,20161029c1v4,3,V247,3799,22
deet,20161029c1v4,3,V250,3816,7
deet,20161029c1v4,3,V251,3823,5
deet,20161029c1v4,3,V253,3848,17
deet,20161029c1v4,3,V254,3856,5
deet,20161029c1v4,3,V258,3878,8
deet,20161029c1v4,3,V259,3886,6
deet,20161029c1v4,3,V260,3898,5
deet,20161029c1v4,3,V261,3905,5
deet,20161029c1v4,3,V262,3914,7
deet,20161029c1v4,3,V265,3931,6
deet,20161029c1v4,3,V267,3942,6
deet,20161029c1v4,3,V268,3955,9
deet,20161029c1v4,3,V272,3989,13
deet,20161029c1v4,3,V273,4014,5
deet,20161029c1v4,3,V281,4184,5
deet,20161029c1v4,3,V316,4756,13
deet,20161029c1v4,3,V317,4884,18
deet,20161029c1v4,3,V320,4997,7
deet,20161029c1v4,3,V324,5234,28
deet,20161029c1v4,3,V328,5366,14
deet,20161029c1v4,3,V332,5446,5
deet,20161029c1v4,3,V333,5459,5
deet,20161029c1v4,3,V334,5470,8
deet,20161029c1v4,3,V338,5496,5
deet,20161029c1v4,3,V340,5607,21
deet,20161029c1v4,3,V341,5621,12
deet,20161029c1v4,3,V342,5651,8
deet,20161029c1v4,3,V352,5789,10
deet,20161029c1v4,3,V355,5814,9
deet,20161029c1v4,3,V362,5877,5
deet,20161029c1v4,3,V365,6003,9
deet,20161029c1v4,3,V367,6029,19
deet,20161029c1v4,3,V368,6062,30
deet,20161029c1v4,3,V369,6074,6
deet,20161029c1v4,3,V371,6088,5
deet,20161029c1v4,3,V373,6112,19
deet,20161029c1v4,3,V377,6133,5
deet,20161029c1v4,3,V382,6171,12
deet,20161029c1v4,3,V385,6197,7
deet,20161029c1v4,3,V392,6247,8
deet,20161029c1v4,3,V400,6288,9
deet,20161029c1v4,3,V401,6302,7
deet,20161029c1v4,3,V409,6362,7
deet,20161029c1v4,3,V413,6389,8
deet,20161029c1v4,3,V415,6404,6
deet,20161029c1v4,3,V416,6428,21
deet,20161029c1v4,3,V418,6453,10
deet,20161029c1v4,3,V420,6472,9
deet,20161029c1v4,3,V422,6502,17
deet,20161029c1v4,3,V425,6524,5
deet,20161029c1v4,3,V427,6540,10
deet,20161029c1v4,3,V428,6549,7
deet,20161029c1v4,3,V433,6575,5
deet,20161029c1v4,3,V438,6598,8
deet,20161029c1v4,3,V444,6649,14
deet,20161029c1v4,3,V445,6662,6
