treatment,datelist,lightlist,animal,fra,len
xx,0330_c1v4,FF,1,2333,5
xx,0330_c1v4,FF,1,2518,44
xx,0330_c1v4,FF,1,3646,7
xx,0330_c1v4,FF,3,774,8
xx,0330_c1v4,FF,3,806,29
xx,0330_c1v4,FF,3,825,5
xx,0330_c1v4,FF,3,846,15
xx,0330_c1v4,FF,3,873,13
xx,0330_c1v4,FF,3,889,10
xx,0330_c1v4,FF,3,905,7
xx,0330_c1v4,FF,3,919,10
xx,0330_c1v4,FF,3,944,6
xx,0330_c1v4,FF,3,982,6
xx,0330_c1v4,FF,3,991,7
xx,0330_c1v4,FF,3,1004,11
xx,0330_c1v4,FF,3,1016,6
xx,0330_c1v4,FF,3,1031,10
xx,0330_c1v4,FF,3,1454,10
xx,0330_c1v4,FF,3,1487,8
xx,0330_c1v4,FF,3,1496,7
xx,0330_c1v4,FF,3,1542,16
xx,0330_c1v4,FF,3,1561,6
xx,0330_c1v4,FF,3,1672,6
xx,0330_c1v4,FF,3,1698,5
xx,0330_c1v4,FF,3,1705,5
xx,0330_c1v4,FF,3,1723,14
xx,0330_c1v4,FF,3,1748,22
xx,0330_c1v4,FF,3,1797,17
xx,0330_c1v4,FF,3,2234,9
xx,0330_c1v4,FF,3,2242,6
xx,0330_c1v4,FF,3,2250,5
xx,0330_c1v4,FF,3,2300,15
xx,0330_c1v4,FF,3,2321,7
xx,0330_c1v4,FF,3,2329,5
xx,0330_c1v4,FF,3,2360,24
xx,0330_c1v4,FF,3,2373,5
xx,0330_c1v4,FF,3,2384,8
xx,0330_c1v4,FF,3,2404,6
xx,0330_c1v4,FF,3,2422,11
xx,0330_c1v4,FF,3,2435,5
xx,0330_c1v4,FF,3,2478,9
xx,0330_c1v4,FF,3,2512,17
xx,0330_c1v4,FF,3,2902,11
xx,0330_c1v4,FF,3,2926,20
xx,0330_c1v4,FF,3,2952,22
xx,0330_c1v4,FF,3,2989,16
xx,0330_c1v4,FF,3,3021,29
xx,0330_c1v4,FF,3,3047,24
