genotype,datelist,animal,variable,fram,lens
Nd,20170114c1v1,1,V4,141,42
Nd,20170114c1v1,1,V7,172,11
Nd,20170114c1v1,1,V8,180,5
Nd,20170114c1v1,1,V9,204,20
Nd,20170114c1v1,1,V13,231,9
Nd,20170114c1v1,1,V14,401,168
Nd,20170114c1v1,1,V15,445,42
Nd,20170114c1v1,1,V16,570,120
Nd,20170114c1v1,1,V17,970,395
Nd,20170114c1v1,1,V18,984,11
Nd,20170114c1v1,1,V19,993,7
Nd,20170114c1v1,1,V22,1016,6
Nd,20170114c1v1,1,V25,1054,7
Nd,20170114c1v1,1,V34,1352,5
Nd,20170114c1v1,1,V39,1721,6
Nd,20170114c1v1,1,V44,1816,8
Nd,20170114c1v1,1,V46,1839,8
Nd,20170114c1v1,1,V48,1870,6
Nd,20170114c1v1,1,V52,1907,7
Nd,20170114c1v1,1,V134,3016,7
Nd,20170114c1v1,1,V145,3118,27
Nd,20170114c1v1,1,V146,3127,6
Nd,20170114c1v1,1,V147,3192,63
Nd,20170114c1v1,1,V150,3210,6
Nd,20170114c1v1,1,V151,3222,10
Nd,20170114c1v1,1,V152,3240,16
Nd,20170114c1v1,1,V155,3256,5
Nd,20170114c1v1,1,V157,3268,7
Nd,20170114c1v1,1,V158,3287,13
Nd,20170114c1v1,1,V165,3338,17
Nd,20170114c1v1,1,V166,3345,5
Nd,20170114c1v1,1,V173,3437,6
Nd,20170114c1v1,1,V179,3523,5
Nd,20170114c1v1,1,V181,3576,28
Nd,20170114c1v1,1,V182,3592,7
Nd,20170114c1v1,1,V185,3620,8
Nd,20170114c1v1,1,V187,3642,16
Nd,20170114c1v1,1,V188,3659,7
Nd,20170114c1v1,1,V191,5419,6
Nd,20170114c1v1,1,V193,5433,9
Nd,20170114c1v1,1,V195,5457,7
Nd,20170114c1v1,1,V196,5479,6
Nd,20170114c1v1,1,V205,5603,5
Nd,20170114c1v1,1,V206,5632,9
Nd,20170114c1v1,1,V224,6053,6
Nd,20170114c1v1,1,V226,6074,8
Nd,20170114c1v1,1,V227,6085,6
Nd,20170114c1v1,1,V233,6166,5
Nd,20170114c1v1,1,V234,6229,59
Nd,20170114c1v1,1,V236,6306,12
Nd,20170114c1v1,1,V237,6799,15
Nd,20170114c1v1,1,V238,6847,12
Nd,20170114c1v1,1,V243,7107,10
Nd,20170114c1v1,1,V263,7722,9
Nd,20170114c1v1,1,V264,7786,58
Nd,20170114c1v1,1,V265,7868,80
Nd,20170114c1v1,1,V266,7914,44
Nd,20170114c1v1,1,V267,7933,17
Nd,20170114c1v1,1,V268,7953,17
Nd,20170114c1v1,1,V270,7969,5
Nd,20170114c1v1,1,V271,7985,14
Nd,20170114c1v1,1,V272,7999,11
Nd,20170114c1v1,1,V273,8006,5
Nd,20170114c1v1,1,V274,8017,9
Nd,20170114c1v1,1,V276,8033,9
Nd,20170114c1v1,1,V277,8041,6
Nd,20170114c1v1,1,V278,8053,9
Nd,20170114c1v1,1,V279,8065,8
Nd,20170114c1v1,1,V280,8073,6
Nd,20170114c1v1,1,V282,8085,6
Nd,20170114c1v1,1,V283,8093,6
Nd,20170114c1v1,1,V285,8121,9
Nd,20170114c1v1,1,V288,8138,5
Nd,20170114c1v1,1,V289,8151,9
Nd,20170114c1v1,1,V290,8162,9
Nd,20170114c1v1,1,V291,8169,5
Nd,20170114c1v1,1,V292,8195,24
Nd,20170114c1v1,1,V297,8234,23
Nd,20170114c1v1,1,V299,8257,17
Nd,20170114c1v1,1,V305,8298,11
Nd,20170114c1v1,1,V307,8319,8
Nd,20170114c1v1,1,V310,8339,6
Nd,20170114c1v1,1,V314,8365,5
Nd,20170114c1v1,1,V315,8381,12
Nd,20170114c1v1,1,V316,8407,19
Nd,20170114c1v1,1,V318,8426,10
Nd,20170114c1v1,1,V319,8462,32
Nd,20170114c1v1,1,V330,8695,7
Nd,20170114c1v1,1,V336,8842,9
Nd,20170114c1v1,1,V339,8859,5
Nd,20170114c1v1,1,V341,8880,13
Nd,20170114c1v1,1,V343,8940,9
Nd,20170114c1v1,1,V346,8965,15
Nd,20170114c1v1,1,V347,8972,5
Nd,20170114c1v1,1,V368,10799,1542
Nd,20170114c1v1,2,V1,14,10
Nd,20170114c1v1,2,V2,57,38
Nd,20170114c1v1,2,V3,77,18
Nd,20170114c1v1,2,V5,117,33
Nd,20170114c1v1,2,V6,125,6
Nd,20170114c1v1,2,V7,149,22
Nd,20170114c1v1,2,V8,158,5
Nd,20170114c1v1,2,V9,168,6
Nd,20170114c1v1,2,V11,197,5
Nd,20170114c1v1,2,V13,222,7
Nd,20170114c1v1,2,V20,335,10
Nd,20170114c1v1,2,V28,416,5
Nd,20170114c1v1,2,V29,437,6
Nd,20170114c1v1,2,V30,449,7
Nd,20170114c1v1,2,V32,471,14
Nd,20170114c1v1,2,V33,482,6
Nd,20170114c1v1,2,V34,493,6
Nd,20170114c1v1,2,V35,508,9
Nd,20170114c1v1,2,V36,529,12
Nd,20170114c1v1,2,V37,547,9
Nd,20170114c1v1,2,V39,568,9
Nd,20170114c1v1,2,V40,594,7
Nd,20170114c1v1,2,V43,625,7
Nd,20170114c1v1,2,V45,641,10
Nd,20170114c1v1,2,V49,685,15
Nd,20170114c1v1,2,V50,699,9
Nd,20170114c1v1,2,V52,713,5
Nd,20170114c1v1,2,V53,730,15
Nd,20170114c1v1,2,V54,741,8
Nd,20170114c1v1,2,V57,772,7
Nd,20170114c1v1,2,V60,806,16
Nd,20170114c1v1,2,V61,828,18
Nd,20170114c1v1,2,V62,842,8
Nd,20170114c1v1,2,V69,894,12
Nd,20170114c1v1,2,V72,927,10
Nd,20170114c1v1,2,V74,938,5
Nd,20170114c1v1,2,V78,970,8
Nd,20170114c1v1,2,V83,1000,7
Nd,20170114c1v1,2,V87,1034,14
Nd,20170114c1v1,2,V90,1061,7
Nd,20170114c1v1,2,V99,1111,6
Nd,20170114c1v1,2,V102,1140,14
Nd,20170114c1v1,2,V103,1162,20
Nd,20170114c1v1,2,V104,1180,13
Nd,20170114c1v1,2,V106,1203,8
Nd,20170114c1v1,2,V107,1211,6
Nd,20170114c1v1,2,V108,1223,8
Nd,20170114c1v1,2,V111,1243,7
Nd,20170114c1v1,2,V112,1254,9
Nd,20170114c1v1,2,V113,1278,22
Nd,20170114c1v1,2,V116,1298,6
Nd,20170114c1v1,2,V117,1308,8
Nd,20170114c1v1,2,V118,1337,27
Nd,20170114c1v1,2,V120,1356,11
Nd,20170114c1v1,2,V122,1382,16
Nd,20170114c1v1,2,V123,1390,6
Nd,20170114c1v1,2,V124,1420,23
Nd,20170114c1v1,2,V126,1438,12
Nd,20170114c1v1,2,V128,1461,18
Nd,20170114c1v1,2,V129,1475,12
Nd,20170114c1v1,2,V132,1489,6
Nd,20170114c1v1,2,V133,1529,38
Nd,20170114c1v1,2,V135,1570,36
Nd,20170114c1v1,2,V136,1605,30
Nd,20170114c1v1,2,V138,1625,10
Nd,20170114c1v1,2,V139,1634,6
Nd,20170114c1v1,2,V143,1665,9
Nd,20170114c1v1,2,V147,1685,7
Nd,20170114c1v1,2,V149,1701,9
Nd,20170114c1v1,2,V150,1710,7
Nd,20170114c1v1,2,V151,1798,86
Nd,20170114c1v1,2,V153,1808,5
Nd,20170114c1v1,2,V154,1817,7
Nd,20170114c1v1,2,V156,1836,12
Nd,20170114c1v1,2,V157,1854,7
Nd,20170114c1v1,2,V159,1872,10
Nd,20170114c1v1,2,V162,1899,9
Nd,20170114c1v1,2,V163,1913,7
Nd,20170114c1v1,2,V169,1981,16
Nd,20170114c1v1,2,V170,1989,6
Nd,20170114c1v1,2,V180,2071,6
Nd,20170114c1v1,2,V181,2107,28
Nd,20170114c1v1,2,V188,2262,6
Nd,20170114c1v1,2,V190,2338,10
Nd,20170114c1v1,2,V191,2425,15
Nd,20170114c1v1,2,V194,2544,8
Nd,20170114c1v1,2,V207,2783,5
Nd,20170114c1v1,2,V208,2791,6
Nd,20170114c1v1,2,V209,2847,10
Nd,20170114c1v1,2,V210,2875,10
Nd,20170114c1v1,2,V215,2934,6
Nd,20170114c1v1,2,V216,2946,10
Nd,20170114c1v1,2,V219,2979,7
Nd,20170114c1v1,2,V222,3029,16
Nd,20170114c1v1,2,V223,3048,12
Nd,20170114c1v1,2,V224,3068,13
Nd,20170114c1v1,2,V226,3080,7
Nd,20170114c1v1,2,V227,8854,5772
Nd,20170114c1v1,2,V229,8901,38
Nd,20170114c1v1,2,V231,9685,34
Nd,20170114c1v1,2,V232,9904,174
Nd,20170114c1v1,2,V234,10194,128
Nd,20170114c1v1,2,V235,10278,12
Nd,20170114c1v1,2,V238,10513,185
Nd,20170114c1v1,2,V240,10554,5
Nd,20170114c1v1,2,V252,10731,10
Nd,20170114c1v1,3,V16,1460,6
Nd,20170114c1v1,3,V31,2042,8
Nd,20170114c1v1,3,V35,2091,10
Nd,20170114c1v1,3,V36,2108,8
Nd,20170114c1v1,3,V38,2123,6
Nd,20170114c1v1,3,V39,2135,7
Nd,20170114c1v1,3,V40,2145,8
Nd,20170114c1v1,3,V42,2164,5
Nd,20170114c1v1,3,V47,2241,22
Nd,20170114c1v1,3,V48,2287,43
Nd,20170114c1v1,3,V51,2351,16
Nd,20170114c1v1,3,V52,2375,22
Nd,20170114c1v1,3,V53,2393,16
Nd,20170114c1v1,3,V54,2404,9
Nd,20170114c1v1,3,V55,2423,5
Nd,20170114c1v1,3,V56,2434,9
Nd,20170114c1v1,3,V58,2519,67
Nd,20170114c1v1,3,V59,2600,79
Nd,20170114c1v1,3,V60,2619,16
Nd,20170114c1v1,3,V63,2641,12
Nd,20170114c1v1,3,V65,2678,28
Nd,20170114c1v1,3,V67,2730,17
Nd,20170114c1v1,3,V68,2748,16
Nd,20170114c1v1,3,V69,2769,19
Nd,20170114c1v1,3,V70,2779,6
