"","genotype","datelist","animal","variable","fram","lens","expt"
"1","Nd","20160825c1v1",1,"V1",7,6,"iaa"
"2","Nd","20160825c1v1",1,"V3",35,17,"iaa"
"3","Nd","20160825c1v1",1,"V4",49,7,"iaa"
"4","Nd","20160825c1v1",1,"V8",81,10,"iaa"
"5","Nd","20160825c1v1",1,"V11",107,10,"iaa"
"6","Nd","20160825c1v1",1,"V14",142,20,"iaa"
"7","Nd","20160825c1v1",1,"V15",149,5,"iaa"
"8","Nd","20160825c1v1",1,"V17",171,5,"iaa"
"9","Nd","20160825c1v1",1,"V19",191,9,"iaa"
"10","Nd","20160825c1v1",1,"V22",226,5,"iaa"
"11","Nd","20160825c1v1",1,"V25",278,6,"iaa"
"12","Nd","20160825c1v1",1,"V30",331,9,"iaa"
"13","Nd","20160825c1v1",1,"V31",340,5,"iaa"
"14","Nd","20160825c1v1",1,"V42",788,13,"iaa"
"15","Nd","20160825c1v1",1,"V52",2422,5,"iaa"
"16","Nd","20160825c1v1",1,"V56",2678,5,"iaa"
"17","Nd","20160825c1v1",1,"V72",3607,9,"iaa"
"18","Nd","20160825c1v1",1,"V73",3668,5,"iaa"
"19","Nd","20160825c1v1",1,"V79",4010,11,"iaa"
"20","Nd","20160825c1v1",1,"V85",4351,6,"iaa"
"21","Nd","20160825c1v1",1,"V90",4410,6,"iaa"
"22","Nd","20160825c1v1",1,"V91",4438,5,"iaa"
"23","Nd","20160825c1v1",1,"V93",4578,7,"iaa"
"24","Nd","20160825c1v1",1,"V95",10799,6145,"iaa"
"25","Nd","20160825c1v1",2,"V1",16,15,"iaa"
"26","Nd","20160825c1v1",2,"V8",57,7,"iaa"
"27","Nd","20160825c1v1",2,"V9",67,8,"iaa"
"28","Nd","20160825c1v1",2,"V10",80,9,"iaa"
"29","Nd","20160825c1v1",2,"V11",89,6,"iaa"
"30","Nd","20160825c1v1",2,"V12",96,5,"iaa"
"31","Nd","20160825c1v1",2,"V15",117,6,"iaa"
"32","Nd","20160825c1v1",2,"V16",128,7,"iaa"
"33","Nd","20160825c1v1",2,"V19",147,8,"iaa"
"34","Nd","20160825c1v1",2,"V20",160,6,"iaa"
"35","Nd","20160825c1v1",2,"V21",179,17,"iaa"
"36","Nd","20160825c1v1",2,"V24",216,13,"iaa"
"37","Nd","20160825c1v1",2,"V25",230,8,"iaa"
"38","Nd","20160825c1v1",2,"V26",257,11,"iaa"
"39","Nd","20160825c1v1",2,"V27",315,9,"iaa"
"40","Nd","20160825c1v1",2,"V30",348,8,"iaa"
"41","Nd","20160825c1v1",2,"V40",1530,7,"iaa"
"42","Nd","20160825c1v1",2,"V59",3273,6,"iaa"
"43","Nd","20160825c1v1",2,"V62",3297,5,"iaa"
"44","Nd","20160825c1v1",2,"V64",3322,9,"iaa"
"45","Nd","20160825c1v1",2,"V70",3433,18,"iaa"
"46","Nd","20160825c1v1",2,"V71",3567,8,"iaa"
"47","Nd","20160825c1v1",2,"V73",3647,24,"iaa"
"48","Nd","20160825c1v1",2,"V74",3667,18,"iaa"
"49","Nd","20160825c1v1",2,"V76",3704,21,"iaa"
"50","Nd","20160825c1v1",2,"V77",3727,14,"iaa"
"51","Nd","20160825c1v1",2,"V80",3959,5,"iaa"
"52","Nd","20160825c1v1",2,"V83",4007,15,"iaa"
"53","Nd","20160825c1v1",2,"V87",4027,6,"iaa"
"54","Nd","20160825c1v1",2,"V95",4189,8,"iaa"
"55","Nd","20160825c1v1",2,"V99",4210,9,"iaa"
"56","Nd","20160825c1v1",2,"V102",4235,7,"iaa"
"57","Nd","20160825c1v1",2,"V107",4284,5,"iaa"
"58","Nd","20160825c1v1",2,"V108",4291,5,"iaa"
"59","Nd","20160825c1v1",2,"V109",4302,5,"iaa"
"60","Nd","20160825c1v1",2,"V110",4310,5,"iaa"
"61","Nd","20160825c1v1",2,"V114",4362,33,"iaa"
"62","Nd","20160825c1v1",2,"V115",4403,39,"iaa"
"63","Nd","20160825c1v1",2,"V116",4432,27,"iaa"
"64","Nd","20160825c1v1",2,"V119",4451,7,"iaa"
"65","Nd","20160825c1v1",2,"V122",4470,7,"iaa"
"66","Nd","20160825c1v1",2,"V124",4492,6,"iaa"
"67","Nd","20160825c1v1",2,"V125",4500,6,"iaa"
"68","Nd","20160825c1v1",2,"V131",4576,10,"iaa"
"69","Nd","20160825c1v1",2,"V132",4588,6,"iaa"
"70","Nd","20160825c1v1",2,"V135",4603,5,"iaa"
"71","Nd","20160825c1v1",2,"V137",4617,9,"iaa"
"72","Nd","20160825c1v1",2,"V149",5088,13,"iaa"
"73","Nd","20160825c1v1",2,"V150",5663,357,"iaa"
"74","Nd","20160825c1v1",2,"V157",6016,10,"iaa"
"75","Nd","20160825c1v1",2,"V160",6045,5,"iaa"
"76","Nd","20160825c1v1",2,"V167",6148,6,"iaa"
"77","Nd","20160825c1v1",2,"V171",6210,7,"iaa"
"78","Nd","20160825c1v1",2,"V172",6247,8,"iaa"
"79","Nd","20160825c1v1",2,"V175",6288,10,"iaa"
"80","Nd","20160825c1v1",2,"V176",6333,5,"iaa"
"81","Nd","20160825c1v1",2,"V177",6343,5,"iaa"
"82","Nd","20160825c1v1",2,"V179",6359,5,"iaa"
"83","Nd","20160825c1v1",2,"V181",6384,5,"iaa"
"84","Nd","20160825c1v1",2,"V184",6419,7,"iaa"
"85","Nd","20160825c1v1",2,"V186",6443,18,"iaa"
"86","Nd","20160825c1v1",2,"V193",6488,8,"iaa"
"87","Nd","20160825c1v1",2,"V195",6529,8,"iaa"
"88","Nd","20160825c1v1",2,"V197",6551,6,"iaa"
"89","Nd","20160825c1v1",2,"V199",6628,17,"iaa"
"90","Nd","20160825c1v1",2,"V200",6951,315,"iaa"
