notes,expt,transfected,added,mM,a,b,c,d,e,f,g,h,i,j,k,l
,str,str217,DEET,160,2.402,3.148,3.965,3.409,3.794,3.094,2.183,3.631,4.099,2.166,3.486,3.101
,str,str217,DEET,80,1.849,1.483,1.769,1.266,1.529,1.931,1.226,2.187,1.954,1.832,1.445,2.026
,str,str217,DEET,40,1.471,1.414,1.225,1.324,1.299,1.296,1.314,1.28,1.51,1.252,1.414,1.174
,str,str217,DEET,20,1.284,1.276,1.255,1.21,1.226,1.244,1.187,1.279,1.265,1.199,1.251,1.199
,str,str217,DEET,10,1.223,1.297,1.311,1.211,1.282,1.267,1.287,1.412,1.383,1.252,1.253,1.315
,str,str217,DEET,5,1.308,1.395,1.394,1.241,1.282,1.37,1.27,1.434,1.414,1.324,1.363,1.389
,str,str217,DEET,2.5,1.334,1.501,1.413,1.332,1.407,1.251,1.548,1.478,1.501,1.46,1.455,1.408
,str,str217,DEET,1.25,1.375,1.536,1.478,1.313,1.419,1.384,1.367,1.594,1.592,1.458,1.52,1.512
,str,str217,DEET,0.625,1.512,1.614,1.677,1.406,1.574,1.371,1.585,1.437,1.632,1.427,1.384,1.498
,str,str217,DEET,0.3125,1.383,1.614,1.571,1.425,1.593,1.594,1.438,1.732,1.873,1.535,1.523,1.648
,str,str217,DEET,0.15625,1.617,1.761,1.583,1.578,1.507,1.443,1.629,1.556,1.723,1.521,1.54,1.688
,str,str217,DEET,0.078125,1.299,1.813,1.67,1.397,1.534,1.511,1.552,1.69,1.599,1.531,1.658,1.633
,str,str217,DEET,0.0390625,1.701,1.703,1.604,1.412,1.697,1.435,1.479,1.81,1.82,1.576,1.6,1.676
,str,str217,DEET,0.01953125,1.5,1.686,1.429,1.384,1.555,1.573,1.463,1.756,1.502,1.546,1.642,1.634
,str,str217,DEET,0.00976563,1.503,1.776,1.682,1.486,1.602,1.728,1.696,1.64,1.826,1.635,1.621,1.63
,str,str217,DEET,0.00488281,1.481,1.598,1.586,1.463,1.534,1.441,1.537,1.437,1.71,1.441,1.5,1.639
,str,noreceptor,DEET,160,4.105,5.094,4.228,3.477,2.915,3.584,4.582,3.251,4.141,3.846,2.824,3.986
,str,noreceptor,DEET,80,2.155,2.173,2.316,2.232,1.978,1.528,2.487,2.288,2.305,1.949,2.444,2.324
,str,noreceptor,DEET,40,1.561,1.58,1.419,1.589,1.393,1.345,1.456,1.33,1.452,1.469,1.571,1.487
,str,noreceptor,DEET,20,1.295,1.351,1.283,1.231,1.208,1.184,1.335,1.292,1.304,1.298,1.32,1.226
,str,noreceptor,DEET,10,1.373,1.291,1.219,1.232,1.213,1.17,1.405,1.297,1.285,1.289,1.358,1.418
,str,noreceptor,DEET,5,1.373,1.432,1.239,1.301,1.292,1.199,1.351,1.407,1.252,1.284,1.401,1.219
,str,noreceptor,DEET,2.5,1.447,1.37,1.275,1.278,1.308,1.226,1.464,1.509,1.344,1.381,1.35,1.343
,str,noreceptor,DEET,1.25,1.558,1.45,1.261,1.368,1.352,1.248,1.579,1.531,1.305,1.506,1.506,1.54
,str,noreceptor,DEET,0.625,1.544,1.638,1.485,1.285,1.255,1.364,1.572,1.579,1.592,1.523,1.588,1.445
n,str,noreceptor,DEET,0.3125,1.409,1.521,1.407,1.34,1.332,1.335,1.591,1.482,1.372,1.558,1.557,1.383
,str,noreceptor,DEET,0.15625,1.603,1.596,1.579,1.544,1.282,1.251,1.634,1.475,1.463,1.571,1.482,1.465
,str,noreceptor,DEET,0.078125,1.373,1.471,1.476,1.412,1.264,1.31,1.662,1.406,1.603,1.601,1.488,1.533
,str,noreceptor,DEET,0.0390625,1.597,1.465,1.493,1.469,1.54,1.472,1.719,1.815,1.594,1.643,1.574,1.657
,str,noreceptor,DEET,0.01953125,1.594,1.641,1.547,1.643,1.426,1.402,1.775,1.847,1.547,1.618,1.601,1.502
,str,noreceptor,DEET,0.00976563,1.43,1.256,1.44,1.491,1.176,1.438,1.445,1.408,1.939,1.673,1.34,1.566
,str,noreceptor,DEET,0.00488281,1.291,1.331,1.367,1.367,1.233,1.264,1.491,1.295,1.256,1.444,1.28,1.515
"mM for blank has the same percent DMSO as DEET/FMRFamide stimuli, but lacks the DEET or FMRFamide",str,str217,blank,160,1.452,1.5,1.512,1.407,,,,,,,,
,str,str217,blank,80,1.636,1.46,1.798,1.479,,,,,,,,
